,stopping_criteria,answer_how,sampling_strategy,aggregation_strategy,k,model,accuracy,entropy,length
0,end_token,answer_first,nucleus,weighted_sum,1,microsoft_phi_4_mini_instruct,0.7,0.5245014127427559,196.64
1,end_token,answer_first,nucleus,weighted_sum,1,microsoft_phi_4_mini_reasoning,0.52,0.11436085031357318,200.0
2,end_token,answer_first,nucleus,weighted_sum,1,Qwen_Qwen2_5_3B_Instruct,0.84,0.2787169844902849,200.0
3,end_token,answer_first,nucleus,weighted_sum,1,Qwen_Qwen2_5_0_5B_Instruct,0.24,0.28736136996440986,200.0
4,end_token,answer_first,nucleus,weighted_sum,1,Qwen_Qwen3_0_6B,0.42,0.3473808154435027,199.92
5,end_token,answer_first,nucleus,weighted_sum,1,Qwen_Qwen3_1_7B,0.64,0.10238676898637418,200.0
6,end_token,answer_first,nucleus,weighted_sum,1,Qwen_Qwen3_4B,0.6,0.08512443581292928,200.0
7,end_token,answer_first,nucleus,weighted_sum,2,microsoft_phi_4_mini_instruct,0.68,0.5245014127427559,196.64
8,end_token,answer_first,nucleus,weighted_sum,2,microsoft_phi_4_mini_reasoning,0.6,0.11436085031357318,200.0
9,end_token,answer_first,nucleus,weighted_sum,2,Qwen_Qwen2_5_3B_Instruct,0.88,0.2787169844902849,200.0
10,end_token,answer_first,nucleus,weighted_sum,2,Qwen_Qwen2_5_0_5B_Instruct,0.28,0.28736136996440986,200.0
11,end_token,answer_first,nucleus,weighted_sum,2,Qwen_Qwen3_0_6B,0.48,0.3473808154435027,199.92
12,end_token,answer_first,nucleus,weighted_sum,2,Qwen_Qwen3_1_7B,0.58,0.10238676898637418,200.0
13,end_token,answer_first,nucleus,weighted_sum,2,Qwen_Qwen3_4B,0.64,0.08512443581292928,200.0
14,end_token,answer_first,nucleus,weighted_sum,4,microsoft_phi_4_mini_instruct,0.68,0.5245014127427559,196.64
15,end_token,answer_first,nucleus,weighted_sum,4,microsoft_phi_4_mini_reasoning,0.54,0.11436085031357318,200.0
16,end_token,answer_first,nucleus,weighted_sum,4,Qwen_Qwen2_5_3B_Instruct,0.8,0.2787169844902849,200.0
17,end_token,answer_first,nucleus,weighted_sum,4,Qwen_Qwen2_5_0_5B_Instruct,0.26,0.28736136996440986,200.0
